User_num,User_name,User_age,User_gender,Trials,Pin_height,Recognition_Load,Handness,Force_Profile,Component_Num,Duration_Time,User_Choice,Haptic_Choice_Correctness, ask_last_num,actual_electronic_element,user_RL_Choice,Recognition_Load_Correctness
5,wyk,20,m,1,1,0,0,0,4,4511,0,1,-1,-1,-1,-1
5,wyk,20,m,2,1,0,0,4,6,10263,4,1,-1,-1,-1,-1
5,wyk,20,m,3,1,0,0,7,5,9415,7,1,-1,-1,-1,-1
5,wyk,20,m,4,1,0,0,1,5,8151,1,1,-1,-1,-1,-1
5,wyk,20,m,5,1,0,0,0,5,4111,0,1,-1,-1,-1,-1
5,wyk,20,m,6,1,0,0,2,6,7423,2,1,-1,-1,-1,-1
5,wyk,20,m,7,1,0,0,5,5,28759,3,0,-1,-1,-1,-1
5,wyk,20,m,8,1,0,0,6,6,592,6,1,-1,-1,-1,-1
5,wyk,20,m,9,1,0,0,7,6,5695,7,1,-1,-1,-1,-1
5,wyk,20,m,10,1,0,0,1,4,15671,1,1,-1,-1,-1,-1
5,wyk,20,m,11,1,0,0,4,5,12919,4,1,-1,-1,-1,-1
5,wyk,20,m,12,1,0,0,2,4,5215,2,1,-1,-1,-1,-1
5,wyk,20,m,13,1,0,0,2,5,5503,2,1,-1,-1,-1,-1
5,wyk,20,m,14,1,0,0,5,6,23967,5,1,-1,-1,-1,-1
5,wyk,20,m,15,1,0,0,6,5,10079,4,0,-1,-1,-1,-1
5,wyk,20,m,16,1,0,0,4,4,40272,4,1,-1,-1,-1,-1
5,wyk,20,m,17,1,0,0,3,5,9799,3,1,-1,-1,-1,-1
5,wyk,20,m,18,1,0,0,0,6,375,0,1,-1,-1,-1,-1
5,wyk,20,m,19,1,0,0,7,4,5398,7,1,-1,-1,-1,-1
5,wyk,20,m,20,1,0,0,3,6,6311,3,1,-1,-1,-1,-1
5,wyk,20,m,21,1,0,0,1,6,7135,1,1,-1,-1,-1,-1
5,wyk,20,m,22,1,0,0,5,4,10687,6,0,-1,-1,-1,-1
5,wyk,20,m,23,1,0,0,3,4,27485,3,1,-1,-1,-1,-1
5,wyk,20,m,24,1,0,0,6,4,4862,7,0,-1,-1,-1,-1
5,wyk,20,m,25,1,1,0,7,6,10615,7,1,0,7,2,0
